"year";"plot";"sp";"lambda"
2020;9;"MEEL";NA
2021;9;"MEEL";NA
2015;1;"MESU";120,78850343476
2016;1;"MESU";121,567355471941
2017;1;"MESU";573,668851001948
2018;1;"MESU";NA
2019;1;"MESU";958,477744462729
2020;1;"MESU";NA
2021;1;"MESU";990,276291463159
2015;2;"MESU";120,78850343476
2016;2;"MESU";121,567355471941
2017;2;"MESU";573,668851001948
2018;2;"MESU";NA
2019;2;"MESU";958,477744462729
2020;2;"MESU";NA
2021;2;"MESU";990,276291463159
2015;3;"MESU";120,78850343476
2016;3;"MESU";121,567355471941
2017;3;"MESU";573,668851001948
2018;3;"MESU";NA
2019;3;"MESU";958,477744462729
2020;3;"MESU";NA
2021;3;"MESU";990,276291463159
2015;4;"MESU";NA
2016;4;"MESU";121,567355471941
2017;4;"MESU";NA
2018;4;"MESU";NA
2019;4;"MESU";958,477744462729
2020;4;"MESU";NA
2021;4;"MESU";990,276291463159
2015;5;"MESU";NA
2016;5;"MESU";121,567355471941
2017;5;"MESU";NA
2018;5;"MESU";NA
2019;5;"MESU";NA
2020;5;"MESU";NA
2021;5;"MESU";990,276291463159
2015;6;"MESU";120,78850343476
2016;6;"MESU";121,567355471941
2017;6;"MESU";NA
2018;6;"MESU";NA
2019;6;"MESU";NA
2020;6;"MESU";NA
2021;6;"MESU";NA
2015;7;"MESU";NA
2016;7;"MESU";121,567355471941
2017;7;"MESU";NA
2018;7;"MESU";NA
2019;7;"MESU";958,477744462729
2020;7;"MESU";22,6396081067457
2021;7;"MESU";990,276291463159
2015;8;"MESU";NA
2016;8;"MESU";121,567355471941
2017;8;"MESU";NA
2018;8;"MESU";NA
2019;8;"MESU";958,477744462729
2020;8;"MESU";22,6396081067457
2021;8;"MESU";990,276291463159
2015;9;"MESU";NA
2016;9;"MESU";121,567355471941
2017;9;"MESU";NA
2018;9;"MESU";NA
2019;9;"MESU";958,477744462729
2020;9;"MESU";22,6396081067457
2021;9;"MESU";NA
2015;1;"PAIN";240,906494971402
2016;1;"PAIN";27,2519500004723
2017;1;"PAIN";332,545253854968
2018;1;"PAIN";NA
2019;1;"PAIN";30,4678951729905
2020;1;"PAIN";68,4838619853913
