"year";"plot";"focal";"neighbour";"magnitude"
2016;5;"MESU";"BEMA";-0,138515600844365
2017;5;"MESU";"BEMA";NA
2018;5;"MESU";"BEMA";NA
2019;5;"MESU";"BEMA";NA
2020;5;"MESU";"BEMA";NA
2021;5;"MESU";"BEMA";NA
2015;6;"MESU";"BEMA";NA
2016;6;"MESU";"BEMA";-0,138515600844365
2017;6;"MESU";"BEMA";NA
2018;6;"MESU";"BEMA";NA
2019;6;"MESU";"BEMA";NA
2020;6;"MESU";"BEMA";NA
2021;6;"MESU";"BEMA";NA
2015;7;"MESU";"BEMA";NA
2016;7;"MESU";"BEMA";-0,138515600844365
2017;7;"MESU";"BEMA";NA
2018;7;"MESU";"BEMA";NA
2019;7;"MESU";"BEMA";-0,0107638030139794
2020;7;"MESU";"BEMA";0,0449259929807265
2021;7;"MESU";"BEMA";-0,00516613647284236
2015;8;"MESU";"BEMA";NA
2016;8;"MESU";"BEMA";-0,138515600844365
2017;8;"MESU";"BEMA";NA
2018;8;"MESU";"BEMA";NA
2019;8;"MESU";"BEMA";-0,0107638030139794
2020;8;"MESU";"BEMA";0,0449259929807265
2021;8;"MESU";"BEMA";-0,00516613647284236
2015;9;"MESU";"BEMA";NA
2016;9;"MESU";"BEMA";-0,138515600844365
2017;9;"MESU";"BEMA";NA
2018;9;"MESU";"BEMA";NA
2019;9;"MESU";"BEMA";NA
2020;9;"MESU";"BEMA";NA
2021;9;"MESU";"BEMA";NA
2015;1;"PAIN";"BEMA";0,0607941837043817
2016;1;"PAIN";"BEMA";NA
2017;1;"PAIN";"BEMA";NA
2018;1;"PAIN";"BEMA";NA
2019;1;"PAIN";"BEMA";NA
2020;1;"PAIN";"BEMA";NA
2021;1;"PAIN";"BEMA";-0,0541701555337123
2015;2;"PAIN";"BEMA";0,0607941837043817
2016;2;"PAIN";"BEMA";NA
2017;2;"PAIN";"BEMA";NA
2018;2;"PAIN";"BEMA";NA
2019;2;"PAIN";"BEMA";NA
2020;2;"PAIN";"BEMA";0,0589451357661841
2021;2;"PAIN";"BEMA";-0,0541701555337123
2015;3;"PAIN";"BEMA";NA
2016;3;"PAIN";"BEMA";NA
2017;3;"PAIN";"BEMA";NA
2018;3;"PAIN";"BEMA";NA
2019;3;"PAIN";"BEMA";NA
2020;3;"PAIN";"BEMA";0,0589451357661841
2021;3;"PAIN";"BEMA";-0,0541701555337123
2015;4;"PAIN";"BEMA";0,0607941837043817
2016;4;"PAIN";"BEMA";NA
2017;4;"PAIN";"BEMA";NA
2018;4;"PAIN";"BEMA";NA
2019;4;"PAIN";"BEMA";NA
2020;4;"PAIN";"BEMA";0,0589451357661841
2021;4;"PAIN";"BEMA";NA
2015;5;"PAIN";"BEMA";0,0607941837043817
2016;5;"PAIN";"BEMA";NA
2017;5;"PAIN";"BEMA";NA
2018;5;"PAIN";"BEMA";NA
2019;5;"PAIN";"BEMA";NA
2020;5;"PAIN";"BEMA";0,0589451357661841
2021;5;"PAIN";"BEMA";NA
2015;6;"PAIN";"BEMA";0,0607941837043817
2016;6;"PAIN";"BEMA";NA
2017;6;"PAIN";"BEMA";NA
2018;6;"PAIN";"BEMA";NA
2019;6;"PAIN";"BEMA";NA
2020;6;"PAIN";"BEMA";0,0589451357661841
2021;6;"PAIN";"BEMA";-0,0541701555337123
2015;7;"PAIN";"BEMA";NA
2016;7;"PAIN";"BEMA";0,0134921082595881
2017;7;"PAIN";"BEMA";NA
2018;7;"PAIN";"BEMA";NA
2019;7;"PAIN";"BEMA";-0,00179499182664464
2020;7;"PAIN";"BEMA";0,0589451357661841
2021;7;"PAIN";"BEMA";-0,0541701555337123
2015;8;"PAIN";"BEMA";NA
2016;8;"PAIN";"BEMA";0,0134921082595881
2017;8;"PAIN";"BEMA";NA
2018;8;"PAIN";"BEMA";NA
2019;8;"PAIN";"BEMA";-0,00179499182664464
2020;8;"PAIN";"BEMA";0,0589451357661841
2021;8;"PAIN";"BEMA";NA
2015;9;"PAIN";"BEMA";NA
2016;9;"PAIN";"BEMA";0,0134921082595881
2017;9;"PAIN";"BEMA";NA
2018;9;"PAIN";"BEMA";NA
2019;9;"PAIN";"BEMA";NA
2020;9;"PAIN";"BEMA";0,0589451357661841
2021;9;"PAIN";"BEMA";NA
2015;1;"PLCO";"BEMA";0,0263054198635676
2016;1;"PLCO";"BEMA";-0,00876773621938803
2017;1;"PLCO";"BEMA";NA
2018;1;"PLCO";"BEMA";NA
2019;1;"PLCO";"BEMA";NA
